SiteN,State,DO,pH,avg_WW,avg_Depth,pflow_Pool,pflow_Run,pflow_Riffle,pbottom_Mud,pbottom_Sand,pbottom_SmGravel,pbottom_LgGravel,pbottom_Cobble,pbottom_Boulder,pbottom_Bedrock,pfloat_macrophytes ,pfloat_wood ,upstreamCumDA_km2,slopePercent,avgMonthFlow_cfs,CV_flow,maxMonthFlow_cfs,minMonthFlow_cfs
1,1,10.7,6.99,5.76666,23.75,0,83.33333333,16.66667,48.3,0,9.2,12.5,8.3,7.5,14.2,83.33333333,16.66666667,32.779,0.39,10.38833333,0.692725676,21.57,2.64
2,1,4.2,7.22,2.94,27,60,20,20,77,19,4,0,0,0,0,60,40,12.236,0.4,3.88,0.699499402,8.09,0.99
3,1,7.4,7.58,11.21666,46.33333,66.66666667,33.33333,0,58.3,41.7,0,0,0,0,0,83.33333333,100,82.772,0.06,25.1325,0.667961376,51.49,6.68
4,1,7.7,7.86,10.51666,18.41666,0,66.66667,33.33333,20,13.3,35,22.5,9.2,0,0,50,83.333333,357.967,0.11,99.75583333,0.680473828,209.81,24.78
5,1,6.8,7.42,22,39.66666,100,0,0,95,0,1.7,0,1.7,1.7,0,100,100,1093.994,0.01,326.1491667,0.681051439,678.26,84.03
6,1,4.4,7.14,9.21666,27.33333,0,83.333333,16.66667,90,10,0,0,0,0,0,33.33333333,100,394.237,0.09,110.365,0.680785408,232.1,27.61
7,1,8.1,8.02,11.65,27.08333,0,50,50,36.7,4.2,36.7,19.2,3.3,0,0,50,33.33333333,283.634,0.01,78.34916667,0.679983535,164.73,19.13
8,1,6.1,7.52,4.54166,57.58333,33.33333333,66.66666667,0,45,55,0,0,0,0,0,100,66.66666667,8.078,0.23,2.491666667,0.681090311,5.15,0.65
9,1,12.1,7.98,6.2,30.75,50,33.33333,16.66667,92.5,3.8,2,0,0,1.7,0,83.333333,0,968.129,0.02,286.4575,0.680706024,596.12,73.88
10,1,6.8,7.44,2.61666,16.833333,0,66.66667,33.33333,84.6,0,7.1,0.8,5.8,1.7,0,100,16.666667,103.079,0.99,28.92833333,0.662733565,64.44,8.31
11,1,13.1,7.27,3.57,21.75,33.333333,33.333333,33.33333,1.7,0,15.8,20,27.5,35,0,0,0,6.5,1.02,1.586666667,0.661032189,3.42,0.47
12,1,9,6.87,5.64166,26.16666,50,16.66667,33.33333,8.8,3.3,18.3,14.2,12.5,9.5,33.3,33.333333,0,39.872,0.62,8.97,0.660724209,19.3,2.68
13,1,18.6,7.71,5.16666,36.25,16.66667,50,33.33333,10,10,26.7,15,23.3,6.7,8.3,0,0,14.119,0.69,3.1775,0.66142686,6.81,0.95
14,1,6.3,7.88,7.1,27.91666,33.333333,33.333333,33.333333,64.2,1.7,19.2,12.5,2.5,0,0,83.333333,16.66667,86.466,0.16,21.25833333,0.674983665,45.52,5.81
15,1,7.3,7.74,6.25833,25.08333,16.66667,50,33.33333,11.3,0,29.2,20,4.6,2.5,32.5,100,33.33333,14.381,0.42,3.929166667,0.676821709,8.21,0.97
16,1,10.3,6.8,3.55,4.58333,0,66.66667,33.33333,0,0.4,7.9,10.8,8.3,7.5,65,100,16.66667,5.37,0.62,1.396666667,0.678742563,2.96,0.36
17,1,4.9,7.26,4.05,39.375,75,0,25,86.3,7.5,4.4,1.9,0,0,0,25,100,8.086,0.35,2.386666667,0.684039271,5,0.65
18,1,8.6,7.64,3.033333,7.16666,0,66.66667,33.33333,62.5,28.8,7.1,1.7,0,0,0,16.66667,66.66667,11.075,0.29,3.281666667,0.682077498,6.85,0.89
19,1,7.7,7.62,6.20714,21.21429,28.57142857,28.57142857,42.85714286,83.2,0,8.6,6.8,0.7,0.7,0,57.14285714,57.14285714,496.258,0.03,170.2858333,0.6911456,349.65,45.63
20,1,5.7,7.63,2.86166,30,33.33333,33.33333,33.33333,4.2,5.8,35.8,30.8,10.8,11.7,0.8,100,0,10.52,0.92,2.4075,0.661275425,5.18,0.71
21,1,7.1,7.64,8.005,20.16667,16.66667,50,33.333333,1.7,14.2,40,30.8,10,2.5,2.5,83.33333,33.333333,92.335,0.15,20.8675,0.691694976,46.84,6.21
22,1,7.1,7.57,7.45833,45.41666,50,33.33333,16.66667,15.8,2.5,15,20.8,29.2,9.2,7.5,83.33333,16.66667,42.726,0.34,9.7125,0.666878661,21.19,2.87
23,1,7.3,6.05,4.18333,21.16667,16.66667,50,33.33333,17.5,3.3,28.3,32.5,17.5,0.8,0,66.66666667,50,8.554,1.04,1.941666667,0.662346916,4.2,0.57
24,1,7.2,6.7,7.82333,60.33333,33.33333,66.66667,0,89.2,0,3.3,2.5,0,1.7,3.3,100,66.66667,54.093,0.1,25.21,0.754922102,53,4.9
25,1,10.2,7.1,4.8,39.66667,50,33.33333,16.66667,75.8,0,12.5,9.2,2.5,0,0,100,16.66666667,149.886,0.03,71.87583333,0.78548257,168.45,12.64
26,1,4.3,6.8,4.15833,21.25,16.66667,66.66666667,16.66667,81.7,0,2.5,2.1,0.4,13.3,0,33.33333,50,33.553,0.19,14.865,0.7569679,31.85,2.71
27,1,4.7,6.95,4.2,41,33.33333,66.66667,0,100,0,0,0,0,0,0,50,100,51.67,0.14,23.93916667,0.710031978,48.17,4.86
28,1,10.6,7.79,6.53333,41,33.33333,66.6667,0,85,0,3.3,3.3,3.3,5,0,100,0,81.639,0.05,13.05916667,0.702305879,26.69,2.74
29,1,6.9,7.46,7.25,25.41666,0,83.33333,16.66667,76.7,0.8,11.7,8.5,2.5,0,0,100,33.33333,388.817,0.1,140.2225,0.690852041,285.75,37.37
30,1,8.4,7.54,2.53333,29.66667,50,16.66667,33.33333,85.8,0,4.6,3.6,3.3,1.7,0,50,50,2.632,0.28,1.106666667,0.657788596,2.16,0.28
31,1,7.1,7.76,4.44446,19.33333,0,66.66667,33.33333,78.3,0,6.7,6.7,5,3.3,0,50,50,75.652,0.09,31.56416667,0.676958738,64.06,7.12
32,1,6.5,7.71,2.71666,17.33333,33.33333,16.66667,50,59.2,0,24.6,4.2,3.8,8.3,0,83.33333,50,114.669,0.19,26.46833333,0.67181501,58.26,7.71
33,1,6.8,7.4,4.4,17,33.33333,16.66666667,50,45,3.3,30.8,9.2,5.8,5.8,0,100,66.66666667,81.949,0.19,18.2275,0.696633247,40.7,5.51
